first_td_team_all,team_logo_espn,first_td_times,first_td_rush,first_td_pass,QB,RB,WR,TE,DEF,first_td_all_perc,season
BAL,https://a.espncdn.com/i/teamlogos/nfl/500/bal.png,3,2,1,1,1,1,0,0,0.23076923076923078,2024
DET,https://a.espncdn.com/i/teamlogos/nfl/500/det.png,3,2,1,0,2,1,0,0,0.25,2024
GB,https://a.espncdn.com/i/teamlogos/nfl/500/gb.png,3,0,3,0,1,2,0,0,0.25,2024
ARI,https://a.espncdn.com/i/teamlogos/nfl/500/ari.png,4,2,2,0,2,2,0,0,0.3333333333333333,2024
BAL,https://a.espncdn.com/i/teamlogos/nfl/500/bal.png,4,2,2,1,1,1,1,0,0.21052631578947367,2023
BUF,https://a.espncdn.com/i/teamlogos/nfl/500/buf.png,4,4,0,0,4,0,0,0,0.21052631578947367,2021
CIN,https://a.espncdn.com/i/teamlogos/nfl/500/cin.png,4,3,1,0,3,0,1,0,0.3333333333333333,2024
CLE,https://a.espncdn.com/i/teamlogos/nfl/500/cle.png,4,3,1,1,2,1,0,0,0.23529411764705882,2022
IND,https://a.espncdn.com/i/teamlogos/nfl/500/ind.png,4,1,2,0,1,1,1,1,0.3076923076923077,2024
LAC,https://a.espncdn.com/i/teamlogos/nfl/500/lac.png,4,1,3,0,2,2,0,0,0.3333333333333333,2024
MIN,https://a.espncdn.com/i/teamlogos/nfl/500/min.png,4,2,1,1,1,1,0,1,0.3333333333333333,2024
TB,https://a.espncdn.com/i/teamlogos/nfl/500/tb.png,4,1,3,1,0,2,1,0,0.3333333333333333,2024
ATL,https://a.espncdn.com/i/teamlogos/nfl/500/atl.png,5,1,4,0,1,3,1,0,0.4166666666666667,2024
BUF,https://a.espncdn.com/i/teamlogos/nfl/500/buf.png,5,2,3,0,3,2,0,0,0.4166666666666667,2024
HOU,https://a.espncdn.com/i/teamlogos/nfl/500/hou.png,5,0,5,0,0,4,1,0,0.38461538461538464,2024
LV,https://a.espncdn.com/i/teamlogos/nfl/500/lv.png,5,4,1,1,3,1,0,0,0.29411764705882354,2023
PHI,https://a.espncdn.com/i/teamlogos/nfl/500/phi.png,5,2,3,0,2,2,1,0,0.4166666666666667,2024
SF,https://a.espncdn.com/i/teamlogos/nfl/500/sf.png,5,3,2,0,2,3,0,0,0.25,2023
ARI,https://a.espncdn.com/i/teamlogos/nfl/500/ari.png,6,1,5,1,0,5,0,0,0.3333333333333333,2021
BAL,https://a.espncdn.com/i/teamlogos/nfl/500/bal.png,6,3,3,0,4,2,0,0,0.3333333333333333,2022
CAR,https://a.espncdn.com/i/teamlogos/nfl/500-dark/car.png,6,1,4,0,1,3,1,1,0.5,2024
CLE,https://a.espncdn.com/i/teamlogos/nfl/500/cle.png,6,0,6,0,0,4,2,0,0.35294117647058826,2021
DAL,https://a.espncdn.com/i/teamlogos/nfl/500/dal.png,6,2,3,0,2,3,0,1,0.3157894736842105,2022
DET,https://a.espncdn.com/i/teamlogos/nfl/500/det.png,6,3,2,1,2,0,2,1,0.35294117647058826,2022
KC,https://a.espncdn.com/i/teamlogos/nfl/500/kc.png,6,3,2,1,2,1,1,1,0.3,2021
LAC,https://a.espncdn.com/i/teamlogos/nfl/500/lac.png,6,2,4,0,2,3,1,0,0.3333333333333333,2022
MIA,https://a.espncdn.com/i/teamlogos/nfl/500/mia.png,6,3,3,0,3,2,1,0,0.35294117647058826,2021
MIA,https://a.espncdn.com/i/teamlogos/nfl/500/mia.png,6,4,2,0,5,1,0,0,0.5,2024
MIN,https://a.espncdn.com/i/teamlogos/nfl/500/min.png,6,2,4,0,3,2,1,0,0.35294117647058826,2021
MIN,https://a.espncdn.com/i/teamlogos/nfl/500/min.png,6,3,1,1,2,1,0,2,0.3333333333333333,2022
MIN,https://a.espncdn.com/i/teamlogos/nfl/500/min.png,6,2,3,0,2,1,2,1,0.35294117647058826,2023
NE,https://a.espncdn.com/i/teamlogos/nfl/500/ne.png,6,0,5,0,1,2,2,1,0.46153846153846156,2024
PHI,https://a.espncdn.com/i/teamlogos/nfl/500/phi.png,6,4,1,0,3,0,2,1,0.3,2022
SEA,https://a.espncdn.com/i/teamlogos/nfl/500/sea.png,6,1,4,0,2,0,3,1,0.35294117647058826,2021
SEA,https://a.espncdn.com/i/teamlogos/nfl/500/sea.png,6,2,4,1,1,4,0,0,0.5,2024
TB,https://a.espncdn.com/i/teamlogos/nfl/500/tb.png,6,1,5,0,1,2,3,0,0.3157894736842105,2021
TEN,https://a.espncdn.com/i/teamlogos/nfl/500/ten.png,6,2,4,0,3,3,0,0,0.35294117647058826,2022
TEN,https://a.espncdn.com/i/teamlogos/nfl/500/ten.png,6,3,3,1,2,2,1,0,0.5,2024
CAR,https://a.espncdn.com/i/teamlogos/nfl/500-dark/car.png,7,4,2,0,5,1,0,1,0.4117647058823529,2021
DAL,https://a.espncdn.com/i/teamlogos/nfl/500/dal.png,7,4,3,0,4,2,1,0,0.3888888888888889,2023
DEN,https://a.espncdn.com/i/teamlogos/nfl/500/den.png,7,2,5,0,1,4,2,0,0.4117647058823529,2023
DEN,https://a.espncdn.com/i/teamlogos/nfl/500/den.png,7,2,5,1,3,1,2,0,0.5384615384615384,2024
DET,https://a.espncdn.com/i/teamlogos/nfl/500/det.png,7,5,2,1,3,3,0,0,0.35,2023
GB,https://a.espncdn.com/i/teamlogos/nfl/500/gb.png,7,2,5,0,2,3,2,0,0.3684210526315789,2023
IND,https://a.espncdn.com/i/teamlogos/nfl/500/ind.png,7,3,4,0,3,4,0,0,0.4117647058823529,2021
JAX,https://a.espncdn.com/i/teamlogos/nfl/500/jax.png,7,1,6,0,2,3,2,0,0.4117647058823529,2023
KC,https://a.espncdn.com/i/teamlogos/nfl/500/kc.png,7,1,6,1,3,2,1,0,0.3333333333333333,2023
KC,https://a.espncdn.com/i/teamlogos/nfl/500/kc.png,7,3,4,0,3,4,0,0,0.5833333333333334,2024
LAC,https://a.espncdn.com/i/teamlogos/nfl/500/lac.png,7,5,2,1,4,1,1,0,0.4117647058823529,2021
LV,https://a.espncdn.com/i/teamlogos/nfl/500/lv.png,7,2,5,0,3,2,2,0,0.5833333333333334,2024
SF,https://a.espncdn.com/i/teamlogos/nfl/500/sf.png,7,5,2,1,4,1,1,0,0.5833333333333334,2024
WAS,https://a.espncdn.com/i/teamlogos/nfl/500/wsh.png,7,3,4,0,3,4,0,0,0.5384615384615384,2024
ATL,https://a.espncdn.com/i/teamlogos/nfl/500/atl.png,8,2,6,1,2,4,1,0,0.47058823529411764,2023
BAL,https://a.espncdn.com/i/teamlogos/nfl/500/bal.png,8,0,6,0,1,3,2,2,0.47058823529411764,2021
BUF,https://a.espncdn.com/i/teamlogos/nfl/500/buf.png,8,1,7,0,2,5,0,1,0.4444444444444444,2022
CAR,https://a.espncdn.com/i/teamlogos/nfl/500-dark/car.png,8,3,5,1,4,2,1,0,0.47058823529411764,2022
CHI,https://a.espncdn.com/i/teamlogos/nfl/500/chi.png,8,2,6,0,2,5,1,0,0.47058823529411764,2021
CHI,https://a.espncdn.com/i/teamlogos/nfl/500/chi.png,8,0,7,0,3,4,1,0,0.47058823529411764,2023
CHI,https://a.espncdn.com/i/teamlogos/nfl/500/chi.png,8,4,4,0,3,3,2,0,0.6666666666666666,2024
CIN,https://a.espncdn.com/i/teamlogos/nfl/500/cin.png,8,1,5,0,1,4,2,1,0.42105263157894735,2022
CLE,https://a.espncdn.com/i/teamlogos/nfl/500/cle.png,8,4,2,1,3,1,1,2,0.4444444444444444,2023
CLE,https://a.espncdn.com/i/teamlogos/nfl/500/cle.png,8,3,4,0,2,5,1,0,0.6666666666666666,2024
KC,https://a.espncdn.com/i/teamlogos/nfl/500/kc.png,8,2,6,2,1,3,2,0,0.4,2022
LA,https://a.espncdn.com/i/teamlogos/nfl/500/lar.png,8,2,5,1,2,2,2,1,0.38095238095238093,2021
LA,https://a.espncdn.com/i/teamlogos/nfl/500/lar.png,8,5,2,0,5,1,1,1,0.47058823529411764,2022
LAC,https://a.espncdn.com/i/teamlogos/nfl/500/lac.png,8,4,3,0,3,4,0,1,0.47058823529411764,2023
MIA,https://a.espncdn.com/i/teamlogos/nfl/500/mia.png,8,2,6,0,2,5,1,0,0.4444444444444444,2023
NO,https://a.espncdn.com/i/teamlogos/nfl/500/no.png,8,5,2,0,5,3,0,0,0.6666666666666666,2024
NYJ,https://a.espncdn.com/i/teamlogos/nfl/500/nyj.png,8,6,1,3,2,2,0,1,0.6666666666666666,2024
PHI,https://a.espncdn.com/i/teamlogos/nfl/500/phi.png,8,2,6,0,1,6,1,0,0.4444444444444444,2023
PIT,https://a.espncdn.com/i/teamlogos/nfl/500/pit.png,8,5,2,0,5,1,1,1,0.6666666666666666,2024
SF,https://a.espncdn.com/i/teamlogos/nfl/500/sf.png,8,2,6,1,1,3,3,0,0.4,2022
TEN,https://a.espncdn.com/i/teamlogos/nfl/500/ten.png,8,3,5,1,2,5,0,0,0.4444444444444444,2021
BUF,https://a.espncdn.com/i/teamlogos/nfl/500/buf.png,9,4,4,2,2,4,1,0,0.47368421052631576,2023
CHI,https://a.espncdn.com/i/teamlogos/nfl/500/chi.png,9,5,4,2,2,4,1,0,0.5294117647058824,2022
CIN,https://a.espncdn.com/i/teamlogos/nfl/500/cin.png,9,6,3,1,6,2,0,0,0.5294117647058824,2023
DAL,https://a.espncdn.com/i/teamlogos/nfl/500/dal.png,9,4,5,0,3,4,2,0,0.5,2021
DAL,https://a.espncdn.com/i/teamlogos/nfl/500/dal.png,9,7,2,3,4,1,1,0,0.75,2024
HOU,https://a.espncdn.com/i/teamlogos/nfl/500/hou.png,9,4,5,1,4,2,2,0,0.5294117647058824,2021
IND,https://a.espncdn.com/i/teamlogos/nfl/500/ind.png,9,6,3,2,5,2,0,0,0.5294117647058824,2023
JAX,https://a.espncdn.com/i/teamlogos/nfl/500/jax.png,9,5,4,1,6,1,1,0,0.75,2024
LA,https://a.espncdn.com/i/teamlogos/nfl/500/lar.png,9,4,5,0,3,5,1,0,0.75,2024
NE,https://a.espncdn.com/i/teamlogos/nfl/500/ne.png,9,2,7,1,3,2,3,0,0.5,2021
NE,https://a.espncdn.com/i/teamlogos/nfl/500/ne.png,9,2,5,1,1,3,3,1,0.5294117647058824,2022
NO,https://a.espncdn.com/i/teamlogos/nfl/500/no.png,9,2,6,1,1,5,1,1,0.5294117647058824,2022
SEA,https://a.espncdn.com/i/teamlogos/nfl/500/sea.png,9,6,3,1,5,2,1,0,0.5294117647058824,2023
WAS,https://a.espncdn.com/i/teamlogos/nfl/500/wsh.png,9,2,6,1,2,4,1,1,0.5294117647058824,2022
ATL,https://a.espncdn.com/i/teamlogos/nfl/500/atl.png,10,3,7,2,2,4,2,0,0.5882352941176471,2021
ATL,https://a.espncdn.com/i/teamlogos/nfl/500/atl.png,10,3,7,0,2,4,4,0,0.5882352941176471,2022
DEN,https://a.espncdn.com/i/teamlogos/nfl/500/den.png,10,3,7,1,2,6,1,0,0.5882352941176471,2021
DEN,https://a.espncdn.com/i/teamlogos/nfl/500/den.png,10,3,7,1,3,3,3,0,0.5882352941176471,2022
LA,https://a.espncdn.com/i/teamlogos/nfl/500/lar.png,10,5,5,0,6,1,3,0,0.5555555555555556,2023
LV,https://a.espncdn.com/i/teamlogos/nfl/500/lv.png,10,4,5,1,5,2,1,1,0.5882352941176471,2022
NO,https://a.espncdn.com/i/teamlogos/nfl/500/no.png,10,2,7,1,1,6,1,1,0.5882352941176471,2021
NO,https://a.espncdn.com/i/teamlogos/nfl/500/no.png,10,3,6,0,3,2,4,1,0.5882352941176471,2023
NYG,https://a.espncdn.com/i/teamlogos/nfl/500/nyg.png,10,4,4,1,4,3,1,1,0.8333333333333334,2024
NYJ,https://a.espncdn.com/i/teamlogos/nfl/500/nyj.png,10,4,4,2,3,2,2,1,0.5882352941176471,2022
PIT,https://a.espncdn.com/i/teamlogos/nfl/500/pit.png,10,7,3,2,5,3,0,0,0.5555555555555556,2021
SF,https://a.espncdn.com/i/teamlogos/nfl/500/sf.png,10,4,6,0,4,4,2,0,0.5,2021
TEN,https://a.espncdn.com/i/teamlogos/nfl/500/ten.png,10,2,7,0,4,4,1,1,0.5882352941176471,2023
ARI,https://a.espncdn.com/i/teamlogos/nfl/500/ari.png,11,6,4,2,3,4,1,1,0.6470588235294118,2022
ARI,https://a.espncdn.com/i/teamlogos/nfl/500/ari.png,11,2,9,1,2,6,2,0,0.6470588235294118,2023
GB,https://a.espncdn.com/i/teamlogos/nfl/500/gb.png,11,4,7,0,6,3,2,0,0.6111111111111112,2021
GB,https://a.espncdn.com/i/teamlogos/nfl/500/gb.png,11,5,6,2,3,4,2,0,0.6470588235294118,2022
HOU,https://a.espncdn.com/i/teamlogos/nfl/500/hou.png,11,5,4,0,5,1,4,1,0.6470588235294118,2022
HOU,https://a.espncdn.com/i/teamlogos/nfl/500/hou.png,11,7,4,4,3,4,0,0,0.5789473684210527,2023
JAX,https://a.espncdn.com/i/teamlogos/nfl/500/jax.png,11,5,6,0,5,4,2,0,0.5789473684210527,2022
MIA,https://a.espncdn.com/i/teamlogos/nfl/500/mia.png,11,3,7,0,4,3,4,0,0.6111111111111112,2022
NE,https://a.espncdn.com/i/teamlogos/nfl/500/ne.png,11,5,4,0,5,4,0,2,0.6470588235294118,2023
NYG,https://a.espncdn.com/i/teamlogos/nfl/500/nyg.png,11,4,6,0,4,6,0,1,0.6470588235294118,2021
NYJ,https://a.espncdn.com/i/teamlogos/nfl/500/nyj.png,11,5,6,0,5,4,2,0,0.6470588235294118,2021
PHI,https://a.espncdn.com/i/teamlogos/nfl/500/phi.png,11,4,7,0,5,2,4,0,0.6111111111111112,2021
PIT,https://a.espncdn.com/i/teamlogos/nfl/500/pit.png,11,1,10,1,3,5,2,0,0.6470588235294118,2022
PIT,https://a.espncdn.com/i/teamlogos/nfl/500/pit.png,11,2,9,0,4,4,3,0,0.6111111111111112,2023
SEA,https://a.espncdn.com/i/teamlogos/nfl/500/sea.png,11,3,7,1,2,5,2,1,0.6111111111111112,2022
TB,https://a.espncdn.com/i/teamlogos/nfl/500/tb.png,11,3,8,0,2,5,4,0,0.6111111111111112,2022
CAR,https://a.espncdn.com/i/teamlogos/nfl/500-dark/car.png,12,8,4,0,11,0,1,0,0.7058823529411765,2023
DET,https://a.espncdn.com/i/teamlogos/nfl/500/det.png,12,6,6,0,7,5,0,0,0.7058823529411765,2021
IND,https://a.espncdn.com/i/teamlogos/nfl/500/ind.png,12,3,8,1,4,5,1,1,0.7058823529411765,2022
LV,https://a.espncdn.com/i/teamlogos/nfl/500/lv.png,12,3,7,0,3,2,5,2,0.6666666666666666,2021
NYG,https://a.espncdn.com/i/teamlogos/nfl/500/nyg.png,12,5,7,1,5,4,2,0,0.631578947368421,2022
TB,https://a.espncdn.com/i/teamlogos/nfl/500/tb.png,12,4,8,3,2,5,2,0,0.631578947368421,2023
WAS,https://a.espncdn.com/i/teamlogos/nfl/500/wsh.png,12,3,9,1,5,5,1,0,0.7058823529411765,2021
WAS,https://a.espncdn.com/i/teamlogos/nfl/500/wsh.png,12,2,10,0,4,6,2,0,0.7058823529411765,2023
JAX,https://a.espncdn.com/i/teamlogos/nfl/500/jax.png,13,9,2,3,5,3,0,2,0.7647058823529411,2021
NYG,https://a.espncdn.com/i/teamlogos/nfl/500/nyg.png,13,6,6,1,3,8,0,1,0.7647058823529411,2023
NYJ,https://a.espncdn.com/i/teamlogos/nfl/500/nyj.png,13,3,9,1,5,3,4,0,0.7647058823529411,2023
CIN,https://a.espncdn.com/i/teamlogos/nfl/500/cin.png,14,4,9,0,3,10,0,1,0.6666666666666666,2021
